时间点,《做我的猫》,《一块红布》,票差
10-25 09:20,9402530,9317970,84560
10-25 09:23,9402530,9318150,84380
10-25 09:26,9403090,9318160,84930
10-25 09:29,9405110,9318750,86360
10-25 09:32,9405660,9319230,86430
10-25 09:35,9406450,9324840,81610
10-25 09:38,9406550,9330830,75720
10-25 09:41,9406570,9332090,74480
10-25 09:44,9406600,9332270,74330
10-25 09:47,9406940,9333080,73860
10-25 09:50,9407610,9334070,73540
10-25 09:53,9407680,9334390,73290
10-25 09:56,9408790,9335520,73270
10-25 09:59,9409450,9341120,68330
10-25 10:02,9409680,9341180,68500
10-25 10:05,9409710,9341820,67890
10-25 10:08,9409880,9342940,66940
10-25 10:11,9410010,9343400,66610
10-25 10:14,9410320,9343790,66530
10-25 10:17,9410780,9344630,66150
10-25 10:20,9411360,9345340,66020
10-25 10:23,9411490,9345610,65880
10-25 10:26,9412420,9345610,66810
10-25 10:30,9413360,9346490,66870
10-25 10:33,9413490,9347200,66290
10-25 10:36,9413580,9347820,65760
10-25 10:39,9413850,9347820,66030
10-25 10:42,9414720,9348630,66090
10-25 10:45,9414830,9348670,66160
10-25 10:48,9415670,9349020,66650
10-25 10:51,9415690,9349050,66640
10-25 10:54,9416460,9349660,66800
10-25 10:57,9418190,9350570,67620
10-25 11:00,9418210,9351510,66700
10-25 11:03,9418220,9362540,55680
10-25 11:06,9419140,9363100,56040
10-25 11:09,9419230,9364170,55060
10-25 11:46,9452790,9372970,79820
10-25 11:49,9453490,9373020,80470
10-25 11:52,9453640,9373500,80140
10-25 11:55,9454190,9373730,80460
10-25 11:58,9454190,9398660,55530
10-25 12:01,9454300,9400050,54250
10-25 12:04,9457160,9400500,56660
10-25 12:07,9457960,9401480,56480
10-25 12:11,9458770,9402620,56150
10-25 12:14,9469080,9404250,64830
10-25 12:17,9469380,9404400,64980
10-25 12:20,9470110,9406260,63850
10-25 12:23,9470810,9406790,64020
